unit,title,line,text
20,Integrated Task 2: Revision + Notice Writing,9022,Use this box for one complete version.
20,Integrated Task 2: Revision + Notice Writing,9046,Use this box for one complete version.
20,Integrated Task 2: Revision + Notice Writing,9157,**Write Here**
20,Integrated Task 2: Revision + Notice Writing,9159,{{PH-1: U20-transfer-response | rows=4}}
21,Writing for Consistency Across a Team,9372,**Write Here**
21,Writing for Consistency Across a Team,9435,Use this box for one complete version.
21,Writing for Consistency Across a Team,9439,**Write Here**
22,Multi-Document Communication Task,9740,**Write Here**
22,Multi-Document Communication Task,9760,Use this box for one complete version.
22,Multi-Document Communication Task,9824,Use this box for one complete version.
22,Multi-Document Communication Task,9954,**Write Here**
22,Multi-Document Communication Task,9956,{{PH-1: U22-transfer-response | rows=4}}
23,Portfolio Writing & Final Revision,10262,Use this box for one complete version.
23,Portfolio Writing & Final Revision,10266,**Write Here**
23,Portfolio Writing & Final Revision,10432,**Write Here**
23,Portfolio Writing & Final Revision,10434,{{PH-1: U23-transfer-response | rows=4}}
23,Portfolio Writing & Final Revision,10543,**Write Here**
23,Portfolio Writing & Final Revision,10608,**Single weak response**
23,Portfolio Writing & Final Revision,10769,- internal response
