line,heading,has_subtitle,suggested_standardized_heading
4577,Comparative Peer Review (F2),False,Comparative Peer Review (F2) — Activity Focus
4591,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
4633,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
4647,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
4686,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
4821,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
4847,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
4857,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
4887,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
4908,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
4933,Real Document Analysis (A5),False,Real Document Analysis (A5) — Activity Focus
4955,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
4974,Reading-to-Write Input (B6),False,Reading-to-Write Input (B6) — Activity Focus
5100,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
5125,Comparative Peer Review (F2),False,Comparative Peer Review (F2) — Activity Focus
5137,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
5181,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
5194,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
5251,Reading-to-Write Input (B6),False,Reading-to-Write Input (B6) — Activity Focus
5274,Compare the Versions (B1),False,Compare the Versions (B1) — Activity Focus
5386,Rewrite the Model Text (D1),False,Rewrite the Model Text (D1) — Activity Focus
5459,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
5471,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
5511,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
5533,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
5577,Compare the Versions (B1),False,Compare the Versions (B1) — Activity Focus
5717,Rewrite the Original Justification (D1),False,Rewrite the Original Justification (D1) — Activity Focus
5754,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
5780,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
5792,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
5830,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
5850,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
5878,Real Document Analysis (A5),False,Real Document Analysis (A5) — Activity Focus
5898,Compare the Versions (B1),False,Compare the Versions (B1) — Activity Focus
6082,Rewrite the Original Report (D1),False,Rewrite the Original Report (D1) — Activity Focus
6182,Comparative Peer Review (F2),False,Comparative Peer Review (F2) — Activity Focus
6190,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
6230,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
6245,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
6295,Reading-to-Write Input (B6),False,Reading-to-Write Input (B6) — Activity Focus
6323,Compare the Versions (B1),False,Compare the Versions (B1) — Activity Focus
6456,Comparative Peer Review (F2),False,Comparative Peer Review (F2) — Activity Focus
6464,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
6504,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
6520,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
6755,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
6771,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
