line,priority,category,current,action,target
350,high,model_label_heading,#### Original Version (too direct),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.
354,high,model_label_heading,#### Revised Version (diplomatic),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.
358,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
367,high,process_rationale_callout,"> **Why this works:** The revised version protects the working relationship. It reduces blame, gives a professional reason for the request, and makes cooperation easier by showing what the reader can do next without feeling attacked.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
371,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
386,low,theory_subsection,#### 1. Softening Strategies (C2),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
392,low,bold_label_review,**Common forms:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
402,high,bold_activity_label,**Practice A — Match the Function**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
420,low,theory_subsection,#### 2. Neutral Clarification Language (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
426,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
433,high,bold_activity_label,**Practice B — Rewrite Direct Questions**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
444,low,theory_subsection,#### 3. Audience-Appropriate Tone (C2),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
446,low,bold_label_review,**Internal →** can be slightly more direct,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
447,low,bold_label_review,**Interagency →** requires neutrality and objectivity,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
448,low,bold_label_review,**International / foreign office →** requires extra diplomacy and clarity,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
450,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
458,high,bold_activity_label,**Practice C — Choose the Appropriate Version**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
475,high,activity_heading,#### Rewrite the Model Text (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
487,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
490,high,activity_heading,#### Tone Transformation (D4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
500,high,transfer_reminder_callout,"> **Transfer reminder:** Keep the communicative purpose constant across both versions. What changes is the level of explicitness, softening, and diplomatic framing needed for the reader.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
507,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
512,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
530,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
535,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
542,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
556,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
570,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
575,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
586,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
589,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
615,high,activity_heading,#### Sorting / Categorisation (A3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
619,low,bold_label_review,**Group 1: Cohesive** — the sentences connect clearly and the paragraph flows logically,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
620,low,bold_label_review,**Group 2: Disjointed** — the sentences feel unrelated or the paragraph jumps between ideas,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
646,high,model_label_heading,#### Original (Disjointed),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.
650,high,model_label_heading,#### Revised (Cohesive),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.
654,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
663,high,process_rationale_callout,"> **Why this works:** The revised paragraph guides the reader through a sequence: topic, explanation, then implication. Each sentence grows out of the previous one, so the reader is not forced to reconstruct the logic independently.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
667,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
682,low,theory_subsection,#### 1. Cohesive Devices (C6),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
684,medium,minor_label_heading,##### a. Adding information,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
688,medium,minor_label_heading,##### b. Showing result,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
692,medium,minor_label_heading,##### c. Showing contrast,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
696,medium,minor_label_heading,##### d. Clarifying or specifying,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.
702,high,bold_activity_label,**Practice A — Sequence for Logical Flow**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
713,low,theory_subsection,#### 2. Reference and Continuity (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
719,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
723,high,bold_activity_label,**Practice B — Replace Repetition**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
734,low,theory_subsection,#### 3. Thematic Progression (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
738,low,bold_label_review,**Pattern:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
744,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
752,high,bold_activity_label,**Practice C — Add Logical Connectors**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
765,high,activity_heading,#### Rebuild the Disjointed Model (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
776,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
779,high,activity_heading,#### Reorganise and Rewrite (D5),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
791,high,transfer_reminder_callout,> **Transfer reminder:** Do not just put the sentences into a correct order. Build a paragraph that moves the reader forward from topic to detail to action or implication.,Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
798,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
803,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
816,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
821,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
828,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
842,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
855,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
860,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
873,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
876,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
912,high,activity_heading,#### Problem Identification (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
928,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
930,low,bold_label_review,**Original Version** — Too informal and disorganised,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
934,low,bold_label_review,**Improved Version** — Structured and diplomatic,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
944,high,process_rationale_callout,"> **Why this works:** The improved version helps the reader act efficiently because each part of the email has a clear job. Context, purpose, explanation, request, and next step are separated, so the reader can understand what matters and what action is needed without reconstructing the logic.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
949,high,activity_heading,#### Structural Deconstruction (B3) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
962,low,theory_subsection,#### 1. Structural Building Blocks,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
976,high,activity_heading,#### Useful Phrases,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
978,low,bold_label_review,**Opening / Context**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
982,low,bold_label_review,**Purpose**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
986,low,bold_label_review,**Explanation**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
990,low,bold_label_review,**Requests**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
994,medium,bold_structural_label,**Next Steps**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
998,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
1006,high,activity_heading,#### Practice A — Identify the Function (C2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1019,high,activity_heading,#### Practice B — Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1032,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1048,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1051,high,activity_heading,#### Template-Guided Writing (D3) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1055,high,transfer_reminder_callout,"> **Transfer reminder:** Treat the template as a sequence of communicative jobs, not as a rigid formula. Each section should help the reader understand why you are writing, what you need, and what happens next.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
1058,medium,bold_structural_label,**Template:**,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
1072,medium,bold_structural_label,**Scenario:** Your office received a revised procedural document from an interagency partner. Two sections appear to use different terminology from the version you were working from. You need to request clarification before updating your internal records.,Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
1076,high,activity_heading,#### Scenario Writing (D2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1090,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1095,high,activity_heading,#### Task — Write a Full High-Level Email (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1117,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1122,high,activity_heading,#### Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1133,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1147,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1160,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1165,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1185,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1188,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1214,high,activity_heading,#### Problem Identification (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1230,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1232,low,bold_label_review,**Original Version** — Vague,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1236,low,bold_label_review,**Improved Version** — Precise and structured,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1247,high,process_rationale_callout,> **Why this works:** The improved version is easier to answer because each question is anchored to a specific place in the document and asks for one clear piece of clarification. The reader does not have to guess what is unclear or what kind of answer is needed.,Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
1252,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1267,low,theory_subsection,#### 1. Useful Phrases for Precise Clarification,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
1272,low,bold_label_review,**Introducing clarification**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1277,low,bold_label_review,**Referencing documents**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1282,low,bold_label_review,**Formulating clear questions**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1289,high,activity_heading,#### Practice A — Sentence Rewriting (C3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1301,low,theory_subsection,#### 2. Structuring Multi-Part Questions,Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
1315,high,activity_heading,#### Practice B — Phrase Bank Building (C8) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1331,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.
1341,high,activity_heading,#### Model Rewriting (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1356,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1359,high,activity_heading,#### Two-Audience Version Task (D4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1363,medium,bold_structural_label,"**Scenario:** A partner organisation has submitted a revised report. One figure in the summary table appears to conflict with a figure in the body of the document, and a key term is used differently across the two sections.",Convert bold paragraph label to semantic label,"Use compact label style, not ordinary bold body text competing with headings."
1370,high,transfer_reminder_callout,> **Transfer reminder:** Precision should stay constant across both versions. What changes is the level of diplomatic framing and the amount of background support the reader needs.,Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.
1381,low,bold_label_review,**Version A**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1384,low,bold_label_review,**Version B**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1389,high,activity_heading,#### Role-Based Writing Task ★ (E3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1412,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1417,high,activity_heading,#### Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1428,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1442,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1459,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1464,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1483,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
1486,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1512,high,activity_heading,#### Contrastive Warm-Up (A6) ★,Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1532,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
1534,low,bold_label_review,**Original Version** — Too direct,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1538,low,bold_label_review,**Improved Version** — Diplomatic,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
1548,high,process_rationale_callout,"> **Why this works:** The improved version identifies the problem without accusing the reader. It separates the issue itself, the evidence for noticing it, the shared goal behind the request, and the action needed next, which helps keep the exchange cooperative.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
