line,priority,category,current,action,target,revised_status,revised_instruction
106,high,language_usage_note,"> **Note on contrast:** Both *but* and *however* express contrast between equal ideas. Use *but* for lighter contrast within a single sentence; use *; however,* when the contrast is emphatic or the ideas are more complex. Compare this with *although* (subordination), which makes the contrast idea se",Convert blockquote to language note callout,`language-note` or more specifically `note-contrast`: explains usage/meaning/form contrast. Do not classify as `why-this-works`.,CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
108,high,bold_activity_label,**Practice A — Add Coordinators (C2)**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
119,low,theory_subsection,#### 2. Subordination (showing supporting or secondary ideas),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
123,low,bold_label_review,"**Common subordinators:** *because, although, when, while, since, unless, even if, even though*",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
125,high,language_usage_note,"> **Note on contrast:** *Although* and *while* express contrast subordinately — the contrasting idea is framed as background, not equal. Compare: *The guidelines were revised, but some teams continued using the previous version* (equal contrast) vs. *Although the guidelines were revised, some teams",Convert blockquote to language note callout,`language-note` or more specifically `note-contrast`: explains usage/meaning/form contrast. Do not classify as `why-this-works`.,CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
127,high,bold_activity_label,**Practice B — Identify the Subordination Function (C2)**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
138,low,theory_subsection,#### 3. Clarity Patterns for Administrative Writing (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
142,medium,micro_theory_label,##### Pattern 1: Main Idea → Reason,Convert to compact theory label,Use a non-heading label style inside the theory section. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
148,medium,micro_theory_label,##### Pattern 2: Purpose Clause → Main Action,Convert to compact theory label,Use a non-heading label style inside the theory section. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
154,low,bold_label_review,> **Patterns 1 and 2 compared:** Both connect an action with a rationale. The difference is emphasis and order: Pattern 1 leads with the action (what will happen); Pattern 2 leads with the purpose (why it matters). Use Pattern 2 when the reason needs to come first to frame the request — especially i,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
156,medium,micro_theory_label,##### Pattern 3: Segmenting Dense Content,Convert to compact theory label,Use a non-heading label style inside the theory section. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
164,medium,example_label,**Example:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
170,high,bold_activity_label,**Practice C — Apply the Patterns (C3)**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
186,high,activity_heading,#### Rewrite the Model Text (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
198,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
201,high,activity_heading,#### Write Your Own Complex Sentence (D2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
205,low,bold_label_review,"> **Before you write:** Do not choose the longest sentence as the ""best"" version automatically. Choose the version that makes the relationship between ideas easiest for the intended reader to process.",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
221,high,student_response_placeholder_label,**Version 1**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
224,high,student_response_placeholder_label,**Version 2**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
227,high,student_response_placeholder_label,**Version 3**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
230,high,student_response_placeholder_label,**Planning Notes**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
235,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
252,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
257,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
271,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
284,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
289,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
302,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
305,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
335,high,activity_heading,#### Discussion Questions (A1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
350,high,model_label_heading,#### Original Version (too direct),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.,UPDATE_TO_MODEL_TEXT_POLICY,Standardize wording from Version to Text. Use Original Text / Revised Text. Use model-bad/model-good semantic Div around the sample block where practical.
354,high,model_label_heading,#### Revised Version (diplomatic),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.,UPDATE_TO_MODEL_TEXT_POLICY,Standardize wording from Version to Text. Use Original Text / Revised Text. Use model-bad/model-good semantic Div around the sample block where practical.
358,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
367,high,process_rationale_callout,"> **Why this works:** The revised version protects the working relationship. It reduces blame, gives a professional reason for the request, and makes cooperation easier by showing what the reader can do next without feeling attacked.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes.",CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
371,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
386,low,theory_subsection,#### 1. Softening Strategies (C2),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
392,low,bold_label_review,**Common forms:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
402,high,bold_activity_label,**Practice A — Match the Function**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
420,low,theory_subsection,#### 2. Neutral Clarification Language (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
426,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
433,high,bold_activity_label,**Practice B — Rewrite Direct Questions**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
444,low,theory_subsection,#### 3. Audience-Appropriate Tone (C2),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
446,low,bold_label_review,**Internal →** can be slightly more direct,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
447,low,bold_label_review,**Interagency →** requires neutrality and objectivity,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
448,low,bold_label_review,**International / foreign office →** requires extra diplomacy and clarity,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
450,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
458,high,bold_activity_label,**Practice C — Choose the Appropriate Version**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
475,high,activity_heading,#### Rewrite the Model Text (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
487,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
490,high,activity_heading,#### Tone Transformation (D4),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
500,high,transfer_reminder_callout,"> **Transfer reminder:** Keep the communicative purpose constant across both versions. What changes is the level of explicitness, softening, and diplomatic framing needed for the reader.",Convert to semantic transfer reminder,`transfer-reminder`: application/transfer prompt. Use orange/amber accent.,CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
507,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
512,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
530,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
535,high,activity_heading,#### Guided Peer Review (F1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
542,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
556,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
570,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
575,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
586,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.,NORMALIZE_PLACEHOLDER,Normalize placeholder wording and optionally wrap in placeholder Div. Preserve placeholder token.
589,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
615,high,activity_heading,#### Sorting / Categorisation (A3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
619,low,bold_label_review,**Group 1: Cohesive** — the sentences connect clearly and the paragraph flows logically,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
620,low,bold_label_review,**Group 2: Disjointed** — the sentences feel unrelated or the paragraph jumps between ideas,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
646,high,model_label_heading,#### Original (Disjointed),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.,UPDATE_TO_MODEL_TEXT_POLICY,Standardize wording from Version to Text. Use Original Text / Revised Text. Use model-bad/model-good semantic Div around the sample block where practical.
650,high,model_label_heading,#### Revised (Cohesive),Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.,UPDATE_TO_MODEL_TEXT_POLICY,Standardize wording from Version to Text. Use Original Text / Revised Text. Use model-bad/model-good semantic Div around the sample block where practical.
654,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
663,high,process_rationale_callout,"> **Why this works:** The revised paragraph guides the reader through a sequence: topic, explanation, then implication. Each sentence grows out of the previous one, so the reader is not forced to reconstruct the logic independently.",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes.",CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
667,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
682,low,theory_subsection,#### 1. Cohesive Devices (C6),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
684,medium,minor_label_heading,##### a. Adding information,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
688,medium,minor_label_heading,##### b. Showing result,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
692,medium,minor_label_heading,##### c. Showing contrast,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
696,medium,minor_label_heading,##### d. Clarifying or specifying,Convert to compact inline/sub-label,Use a non-heading label or definition-list style. Do not include in outline/navigation.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
702,high,bold_activity_label,**Practice A — Sequence for Logical Flow**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
713,low,theory_subsection,#### 2. Reference and Continuity (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
719,medium,example_label,**Examples:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
723,high,bold_activity_label,**Practice B — Replace Repetition**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
734,low,theory_subsection,#### 3. Thematic Progression (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
738,low,bold_label_review,**Pattern:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
744,high,worked_example_label,**Worked example:**,Convert to worked-example component,`worked-example`: demonstrated process/model. Neutral/blue or green if showing correct model.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
752,high,bold_activity_label,**Practice C — Add Logical Connectors**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
