line,priority,change_type,target_class,current_text,action,target_pattern,notes
164,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
186,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Model Text (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Model Text — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
198,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
199,high,normalize_placeholder_line,placeholder,{{PH-2: U01-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U01-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
205,medium,review_blockquote_label,learn-note,"> **Before you write:** Do not choose the longest sentence as the ""best"" version automatically. Choose the version that makes the relationship between ideas easiest for the intended reader to process.",Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
221,high,normalize_placeholder_line,placeholder,**Version 1**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Text 1 
:::",Preserve placeholder token exactly if present.
222,high,normalize_placeholder_line,placeholder,{{PH-2: U01-D2-version-1}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U01-D2-version-1}}
:::",Preserve the placeholder token exactly.
224,high,normalize_placeholder_line,placeholder,**Version 2**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Text 2 
:::",Preserve placeholder token exactly if present.
225,high,normalize_placeholder_line,placeholder,{{PH-2: U01-D2-version-2}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U01-D2-version-2}}
:::",Preserve the placeholder token exactly.
227,high,normalize_placeholder_line,placeholder,**Version 3**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Text 3 
:::",Preserve placeholder token exactly if present.
228,high,normalize_placeholder_line,placeholder,{{PH-2: U01-D2-version-3}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U01-D2-version-3}}
:::",Preserve the placeholder token exactly.
230,high,normalize_placeholder_line,placeholder,**Planning Notes**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Planning Notes 
:::",Preserve placeholder token exactly if present.
231,high,normalize_placeholder_line,placeholder,{{PH-1: U01-D2-version-choice-note}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-1: U01-D2-version-choice-note}}
:::",Preserve the placeholder token exactly.
235,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
252,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
253,high,normalize_placeholder_line,placeholder,{{PH-4: U01-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U01-E1-freer-write}}
:::",Preserve the placeholder token exactly.
257,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
271,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
284,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
285,high,normalize_placeholder_line,placeholder,{{PH-2: U01-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U01-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
289,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
302,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
303,high,normalize_placeholder_line,placeholder,{{PH-4: U01-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U01-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
305,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
335,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Discussion Questions (A1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Discussion Questions — Activity Focus (A1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
350,high,standardize_model_label_and_wrap_sample,model-bad,#### Original Version (too direct),Replace model heading label and wrap associated sample in semantic Div,"::: model-bad
**Original Text  — Too Direct**
...
:::","Use Text, not Version, to emphasize writing sample. Red=bad/original, green=good/revised."
352,medium,convert_or_review_blockquote_group,semantic-div,"> *""You submitted the wrong document. Please resend the correct version. We cannot continue the review until you fix this.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
354,high,standardize_model_label_and_wrap_sample,model-good,#### Revised Version (diplomatic),Replace model heading label and wrap associated sample in semantic Div,"::: model-good
**Revised Text  — Diplomatic**
...
:::","Use Text, not Version, to emphasize writing sample. Red=bad/original, green=good/revised."
356,medium,convert_or_review_blockquote_group,semantic-div,"> *""It appears that the submitted document may not match the version required for this stage. To ensure accuracy in our review, we would appreciate it if you could confirm whether an updated file is available. Once received, we will be able to proceed with the next steps of the examination.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
358,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
367,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The revised version protects the working relationship. It reduces blame, gives a professional reason for the request, and makes cooperation easier by showing what the reader can do next without feeling attacked.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
371,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Noticing Task (B2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Noticing Task — Identify the Writing Pattern (B2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
426,low,convert_label_to_div_or_label,example,**Examples:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
444,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 3. Audience-Appropriate Tone (C2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 3. Audience-Appropriate Tone — Activity Focus (C2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
450,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
475,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Model Text (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Model Text — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
487,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
488,high,normalize_placeholder_line,placeholder,{{PH-2: U02-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U02-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
490,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Tone Transformation (D4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Tone Transformation — Activity Focus (D4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
500,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Keep the communicative purpose constant across both versions. What changes is the level of explicitness, softening, and diplomatic framing needed for the reader.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
507,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
508,high,normalize_placeholder_line,placeholder,{{PH-3: U02-D4-two-audience-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U02-D4-two-audience-draft}}
:::",Preserve the placeholder token exactly.
512,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
530,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
531,high,normalize_placeholder_line,placeholder,{{PH-4: U02-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U02-E1-freer-write}}
:::",Preserve the placeholder token exactly.
535,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
542,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
556,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
570,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
571,high,normalize_placeholder_line,placeholder,{{PH-2: U02-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U02-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
575,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
586,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
587,high,normalize_placeholder_line,placeholder,{{PH-4: U02-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U02-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
589,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
615,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Sorting / Categorisation (A3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Sorting / Categorisation — Activity Focus (A3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
646,high,standardize_model_label_and_wrap_sample,model-bad,#### Original (Disjointed),Replace model heading label and wrap associated sample in semantic Div,"::: model-bad
**Original  — Disjointed**
...
:::","Use Text, not Version, to emphasize writing sample. Red=bad/original, green=good/revised."
648,medium,convert_or_review_blockquote_group,semantic-div,"> *""The meeting was productive. Several issues were raised. The guidelines were unclear. The participants wanted clarification. We must revise the document.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
650,high,standardize_model_label_and_wrap_sample,model-good,#### Revised (Cohesive),Replace model heading label and wrap associated sample in semantic Div,"::: model-good
**Revised  — Cohesive**
...
:::","Use Text, not Version, to emphasize writing sample. Red=bad/original, green=good/revised."
652,medium,convert_or_review_blockquote_group,semantic-div,"> *""The meeting was productive, but several issues were raised regarding the clarity of the guidelines. Because participants requested further clarification, the team agreed that the document requires revision. The next step will be to prepare a revised draft reflecting the discussion.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
654,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
663,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The revised paragraph guides the reader through a sequence: topic, explanation, then implication. Each sentence grows out of the previous one, so the reader is not forced to reconstruct the logic independently.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
667,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Noticing Task (B2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Noticing Task — Identify the Writing Pattern (B2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
684,medium,standardize_minor_heading_punctuation_capitalization,heading,##### a. Adding information,Standardize punctuation/capitalization,##### A. Adding Information,Keep as heading only if it is a true theory subsection or micro-label.
688,medium,standardize_minor_heading_punctuation_capitalization,heading,##### b. Showing result,Standardize punctuation/capitalization,##### B. Showing Result,Keep as heading only if it is a true theory subsection or micro-label.
692,medium,standardize_minor_heading_punctuation_capitalization,heading,##### c. Showing contrast,Standardize punctuation/capitalization,##### C. Showing Contrast,Keep as heading only if it is a true theory subsection or micro-label.
696,medium,standardize_minor_heading_punctuation_capitalization,heading,##### d. Clarifying or specifying,Standardize punctuation/capitalization,##### D. Clarifying or Specifying,Keep as heading only if it is a true theory subsection or micro-label.
719,low,convert_label_to_div_or_label,example,**Examples:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
744,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
776,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
777,high,normalize_placeholder_line,placeholder,{{PH-2: U03-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U03-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
779,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Reorganise and Rewrite (D5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Reorganise and Rewrite — Activity Focus (D5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
791,high,convert_blockquote_to_learn_div,learn-transfer,> **Transfer reminder:** Do not just put the sentences into a correct order. Build a paragraph that moves the reader forward from topic to detail to action or implication.,Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
798,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
799,high,normalize_placeholder_line,placeholder,{{PH-3: U03-D5-reorganised-version}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U03-D5-reorganised-version}}
:::",Preserve the placeholder token exactly.
803,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
816,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
817,high,normalize_placeholder_line,placeholder,{{PH-4: U03-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U03-E1-freer-write}}
:::",Preserve the placeholder token exactly.
821,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
828,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
842,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Editing Exercise (G1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Editing Exercise — Improve Clarity and Flow (G1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
855,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
856,high,normalize_placeholder_line,placeholder,{{PH-2: U03-G1-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U03-G1-editing-rewrite}}
:::",Preserve the placeholder token exactly.
860,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
873,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
874,high,normalize_placeholder_line,placeholder,{{PH-4: U03-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U03-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
876,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
912,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Problem Identification (A2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Problem Identification — Activity Focus (A2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
916,medium,convert_or_review_blockquote_group,semantic-div,"> *""Hi, we saw your message. Can you send the other file? Also, the translation had some issues so please check that too. By the way, we need to finish the review soon.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
928,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
932,medium,convert_or_review_blockquote_group,semantic-div,"> *""Hi, we saw your message. Can you send the other file? Also, the translation had some issues so please check that too. By the way, we need to finish the review soon.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
936,medium,convert_or_review_blockquote_group,semantic-div,"> *""Thank you for your message. We would like to confirm whether the updated file is available, as the version received may not reflect the latest corrections. In addition, our team noted several inconsistencies in the translation and would appreciate your review of these points. Once the updated materials are received, we will proceed with the remaining steps of the review.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
944,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved version helps the reader act efficiently because each part of the email has a clear job. Context, purpose, explanation, request, and next step are separated, so the reader can understand what matters and what action is needed without reconstructing the logic.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
949,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Structural Deconstruction (B3) ★,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Structural Deconstruction (B3) ★ — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
962,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 1. Structural Building Blocks,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 1. Structural Building Blocks — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
994,medium,normalize_bold_structural_label,semantic-label,**Next Steps**,Convert bold structural label to compact label style or Div if block-level,**Next Steps:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
998,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
1006,high,standardize_activity_heading,activity-heading,#### Practice A — Identify the Function (C2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Practice a — Identify the Function (C2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
