unit,title,line,issue,previous_line,item
7,Making Requests Politely,3041,starts_lowercase; missing_terminal_punctuation,Choose one workplace situation:,you need missing information
7,Making Requests Politely,3047,starts_lowercase; missing_terminal_punctuation,Write two short emails for the same situation:,one to an internal colleague
7,Making Requests Politely,3052,starts_lowercase; missing_terminal_punctuation,"After writing, add a note explaining:",what stayed the same in both emails
7,Making Requests Politely,3073,starts_lowercase; missing_terminal_punctuation,Module 2 asks you to control four linked decisions in every email:,what the reader needs to understand first
7,Making Requests Politely,3106,starts_lowercase; missing_terminal_punctuation,Why this email causes trouble for the reader:,the subject line gives almost no useful information
7,Making Requests Politely,3126,starts_lowercase; missing_terminal_punctuation,Why this stronger version works:,the subject line tells the reader the topic immediately
7,Making Requests Politely,3139,starts_lowercase; missing_terminal_punctuation,Choose one of these situations:,missing applicant information
7,Making Requests Politely,3145,starts_lowercase; missing_terminal_punctuation,Write a three-part email set:,a first email
7,Making Requests Politely,3199,starts_lowercase; missing_terminal_punctuation,"Before you finish an email task, write one short follow-up note:",what reply you expect
7,Making Requests Politely,3213,starts_lowercase; missing_terminal_punctuation,Take one short email from this module and test it against two readers:,an internal colleague who already knows the background
7,Making Requests Politely,3256,starts_lowercase; missing_terminal_punctuation,"By the end of this module, you should be able to:",write a simple procedure another person can follow
7,Making Requests Politely,3263,starts_lowercase; missing_terminal_punctuation,Work through the module with these habits:,compare weak and strong versions before drafting
8,Writing Simple Procedures,3275,starts_lowercase,"By the end of this unit, I will be able to:",write simple step-by-step instructions in a clear order.
8,Writing Simple Procedures,3276,starts_lowercase,- write simple step-by-step instructions in a clear order.,choose clear action verbs for procedure writing.
8,Writing Simple Procedures,3277,starts_lowercase,- choose clear action verbs for procedure writing.,write a short workplace procedure that another person can follow.
8,Writing Simple Procedures,3278,starts_lowercase,- write a short workplace procedure that another person can follow.,write a simple manual-style section for a routine office task.
8,Writing Simple Procedures,3288,missing_terminal_punctuation,It should:,Be clear and easy to follow
8,Writing Simple Procedures,3350,starts_lowercase; missing_terminal_punctuation,The reader can see:,what to do first
8,Writing Simple Procedures,3362,starts_lowercase; missing_terminal_punctuation,Procedures reduce reader error when:,the steps follow the real order
8,Writing Simple Procedures,3374,missing_terminal_punctuation,Common verbs used in procedures:,Check
8,Writing Simple Procedures,3386,starts_lowercase; missing_terminal_punctuation,Good procedure verbs are:,direct
8,Writing Simple Procedures,3577,starts_lowercase; missing_terminal_punctuation,Write a **short manual section** using this fixed format:,a short title (optional)
8,Writing Simple Procedures,3584,starts_lowercase; missing_terminal_punctuation,This means the task has **two clear parts**:,a short explanation
8,Writing Simple Procedures,3589,starts_lowercase; missing_terminal_punctuation,Your manual section should explain:,what the task is
8,Writing Simple Procedures,3639,starts_lowercase; missing_terminal_punctuation,Write:,one sentence explaining who the procedure is for
9,Internal Notices,3689,starts_lowercase,"By the end of this unit, I will be able to:",identify the main parts of an internal notice.
9,Internal Notices,3690,starts_lowercase,- identify the main parts of an internal notice.,write a short internal notice using neutral language.
9,Internal Notices,3691,starts_lowercase,- write a short internal notice using neutral language.,explain an internal update or change clearly for colleagues.
9,Internal Notices,3692,starts_lowercase,- explain an internal update or change clearly for colleagues.,write a short bulletin-style notice for internal communication.
9,Internal Notices,3701,missing_terminal_punctuation,An **internal notice** is a short message shared inside a department or organisation. It:,Provides important information
9,Internal Notices,3750,starts_lowercase; missing_terminal_punctuation,Notice B is stronger because it gives the reader a usable structure:,topic
9,Internal Notices,3757,starts_lowercase; missing_terminal_punctuation,Notice A feels weak because the reader still does not know:,what exactly happened
9,Internal Notices,3796,missing_terminal_punctuation,1. The application review will take place next Wednesday.,Internal Notice - Application Review
9,Internal Notices,3812,missing_terminal_punctuation,"Internal notices use **neutral, factual language**. Avoid:",Personal comments
9,Internal Notices,3851,starts_lowercase; missing_terminal_punctuation,Make each one more useful by adding:,the real topic
9,Internal Notices,3857,starts_lowercase; missing_terminal_punctuation,Mini notice frame:,heading or topic
9,Internal Notices,3895,missing_terminal_punctuation,Write your notice:,**Heading:**
9,Internal Notices,4023,starts_lowercase; missing_terminal_punctuation,Expand it into a longer bulletin-style paragraph by adding:,one background sentence
9,Internal Notices,4052,starts_lowercase; missing_terminal_punctuation,Strong bulletin sections usually move in this order:,topic
10,Explaining Problems Clearly,4106,starts_lowercase,"By the end of this unit, I will be able to:",explain a workplace problem in clear neutral language.
10,Explaining Problems Clearly,4107,starts_lowercase,- explain a workplace problem in clear neutral language.,include the main parts of a problem explanation in a logical way.
10,Explaining Problems Clearly,4108,starts_lowercase,- include the main parts of a problem explanation in a logical way.,write a short explanation of a problem or issue.
10,Explaining Problems Clearly,4109,starts_lowercase,- write a short explanation of a problem or issue.,write a report-style paragraph describing a problem and its effect.
10,Explaining Problems Clearly,4163,missing_terminal_punctuation,A weak explanation usually names only the problem:,*The system isn't working.*
10,Explaining Problems Clearly,4167,starts_lowercase; missing_terminal_punctuation,A stronger explanation helps the reader understand the full picture:,what was expected
10,Explaining Problems Clearly,4219,starts_lowercase; missing_terminal_punctuation,These phrases help because they separate different jobs:,issue
10,Explaining Problems Clearly,4234,starts_lowercase; missing_terminal_punctuation,Try to make the reader understand:,what the problem is
10,Explaining Problems Clearly,4273,starts_lowercase; missing_terminal_punctuation,Use them to give:,"one useful cause, fact, or example"
10,Explaining Problems Clearly,4446,missing_terminal_punctuation,Your paragraph should:,Present the background
11,Writing Simple Meeting Summaries,4493,starts_lowercase,"By the end of this unit, I will be able to:",identify the key information that belongs in a meeting summary.
11,Writing Simple Meeting Summaries,4494,starts_lowercase,- identify the key information that belongs in a meeting summary.,write a short meeting summary using clear neutral language.
11,Writing Simple Meeting Summaries,4495,starts_lowercase,- write a short meeting summary using clear neutral language.,record decisions and next steps from a meeting.
11,Writing Simple Meeting Summaries,4496,starts_lowercase,- record decisions and next steps from a meeting.,write a short report-style section summarizing a meeting.
11,Writing Simple Meeting Summaries,4505,missing_terminal_punctuation,A meeting summary is a **brief record** of important points from a meeting. It:,Highlights key information
11,Writing Simple Meeting Summaries,4556,starts_lowercase; missing_terminal_punctuation,Summary B is stronger because it groups the meeting content by function:,what the meeting was about
11,Writing Simple Meeting Summaries,4598,starts_lowercase; missing_terminal_punctuation,A stronger summary usually shows:,topic
11,Writing Simple Meeting Summaries,4756,starts_lowercase; missing_terminal_punctuation,Choose one summary you wrote in this unit. Rewrite it for a manager by making:,the key point more direct
11,Writing Simple Meeting Summaries,4784,starts_lowercase; missing_terminal_punctuation,"Before you write, decide which sentence will do each job:",open with the meeting purpose
11,Writing Simple Meeting Summaries,4902,starts_lowercase; missing_terminal_punctuation,Then write three reflection notes:,which part was hardest to organise
11,Writing Simple Meeting Summaries,4927,starts_lowercase; missing_terminal_punctuation,Module 3 teaches a simple but important workplace rule: the reader should not need to guess the order of information. Use this reminder:,procedures need sequence
11,Writing Simple Meeting Summaries,4960,starts_lowercase; missing_terminal_punctuation,Why the stronger version works:,the change is named clearly
11,Writing Simple Meeting Summaries,5022,starts_lowercase; missing_terminal_punctuation,Use the board to diagnose weak drafts:,"if the text feels repetitive, the order pattern may be missing"
11,Writing Simple Meeting Summaries,5036,missing_terminal_punctuation,Take one weak internal message and rebuild it in two passes.,Structure pass
11,Writing Simple Meeting Summaries,5067,starts_lowercase; missing_terminal_punctuation,Choose one:,procedure
11,Writing Simple Meeting Summaries,5074,starts_lowercase,Then complete:,the reader needs this document because ...
11,Writing Simple Meeting Summaries,5075,starts_lowercase,- the reader needs this document because ...,"after reading, the reader should be able to ..."
11,Writing Simple Meeting Summaries,5076,starts_lowercase,"- after reading, the reader should be able to ...",the most important sentence must appear by line ...
11,Writing Simple Meeting Summaries,5082,starts_lowercase,Use the matching path:,procedure:
11,Writing Simple Meeting Summaries,5083,starts_lowercase; missing_terminal_punctuation,- procedure:,start action
11,Writing Simple Meeting Summaries,5087,starts_lowercase; missing_terminal_punctuation,- notice:,changed fact
11,Writing Simple Meeting Summaries,5091,starts_lowercase; missing_terminal_punctuation,- problem explanation:,problem
11,Writing Simple Meeting Summaries,5096,starts_lowercase; missing_terminal_punctuation,- meeting summary:,meeting purpose
11,Writing Simple Meeting Summaries,5107,starts_lowercase; missing_terminal_punctuation,Add one sentence that makes the reader-use value visible:,what to check
11,Writing Simple Meeting Summaries,5121,missing_terminal_punctuation,- Weak notice:,"""The room will change next week."""
11,Writing Simple Meeting Summaries,5123,missing_terminal_punctuation,- Stronger notice:,"""The document check will move to Room 304 next week because Room 201 is under maintenance. Please bring all morning submissions to Room 304 from Monday to Friday."""
11,Writing Simple Meeting Summaries,5150,starts_lowercase; missing_terminal_punctuation,Why Ending B is stronger:,it gives a visible action
11,Writing Simple Meeting Summaries,5177,starts_lowercase; missing_terminal_punctuation,"By the end of this module, you should be able to:",write a clear external inquiry that asks answerable questions
11,Writing Simple Meeting Summaries,5184,starts_lowercase; missing_terminal_punctuation,Use this module carefully:,"notice how the example versions change for audience, not only for grammar"
12,Writing Simple External Inquiries,5196,starts_lowercase,"By the end of this unit, I will be able to:",write a short external inquiry email with a clear question.
12,Writing Simple External Inquiries,5197,starts_lowercase,- write a short external inquiry email with a clear question.,provide enough background for another office to understand my question.
12,Writing Simple External Inquiries,5198,starts_lowercase,- provide enough background for another office to understand my question.,use polite inquiry phrases in a professional way.
12,Writing Simple External Inquiries,5199,starts_lowercase,- use polite inquiry phrases in a professional way.,"explain, in a short paragraph, why an external inquiry is needed."
12,Writing Simple External Inquiries,5209,missing_terminal_punctuation,It should:,Be polite and professional
12,Writing Simple External Inquiries,5266,starts_lowercase; missing_terminal_punctuation,Email B works better because the outside reader gets:,enough background to identify the issue
12,Writing Simple External Inquiries,5325,starts_lowercase; missing_terminal_punctuation,An external inquiry often needs two jobs:,show the reader why you are asking
12,Writing Simple External Inquiries,5336,starts_lowercase; missing_terminal_punctuation,"For each one, make sure you:",add a short background clue
12,Writing Simple External Inquiries,5521,starts_lowercase; missing_terminal_punctuation,Choose one inquiry from this unit. Write a short internal note for your team explaining:,what is unclear
13,Providing Simple Explanations,5608,starts_lowercase,"By the end of this unit, I will be able to:",explain a process or issue in simple professional language.
13,Providing Simple Explanations,5609,starts_lowercase,- explain a process or issue in simple professional language.,add the right amount of background and reason information.
13,Providing Simple Explanations,5610,starts_lowercase,- add the right amount of background and reason information.,write a short explanatory text about a workplace issue.
13,Providing Simple Explanations,5611,starts_lowercase,- write a short explanatory text about a workplace issue.,write a report-style explanatory paragraph.
13,Providing Simple Explanations,5620,missing_terminal_punctuation,A simple explanation:,Gives the reader **background**
13,Providing Simple Explanations,5640,missing_terminal_punctuation,Read each explanation. Identify what is missing.,"""The schedule changed."""
13,Providing Simple Explanations,5685,starts_lowercase; missing_terminal_punctuation,The stronger version works because it gives:,the situation
13,Providing Simple Explanations,5706,starts_lowercase,- because...,due to...
13,Providing Simple Explanations,5707,starts_lowercase,- due to...,as a result of...
13,Providing Simple Explanations,5740,starts_lowercase; missing_terminal_punctuation,Build each answer so the reader can understand:,what happened
13,Providing Simple Explanations,5789,missing_terminal_punctuation,Try this pattern:,Background: what the reader needs to know first
13,Providing Simple Explanations,5828,missing_terminal_punctuation,Explain:,Background
13,Providing Simple Explanations,5948,starts_lowercase; missing_terminal_punctuation,"Before you write, decide:",who will read the report
14,Responding to Confusion,6004,starts_lowercase,"By the end of this unit, I will be able to:",acknowledge confusion politely in writing.
14,Responding to Confusion,6005,starts_lowercase,- acknowledge confusion politely in writing.,restate the correct information clearly.
14,Responding to Confusion,6006,starts_lowercase,- restate the correct information clearly.,write a short response that corrects a misunderstanding without blaming the reader.
14,Responding to Confusion,6007,starts_lowercase,- write a short response that corrects a misunderstanding without blaming the reader.,write a report-style paragraph describing a misunderstanding and its resolution.
14,Responding to Confusion,6016,missing_terminal_punctuation,"When someone is confused, your response should:",Acknowledge the confusion politely
14,Responding to Confusion,6035,missing_terminal_punctuation,Identify what the reader is confused about.,"""I thought the deadline was next Monday."""
14,Responding to Confusion,6062,starts_lowercase; missing_terminal_punctuation,The example response is stronger because it does three things in order:,acknowledges the question politely
14,Responding to Confusion,6074,starts_lowercase; missing_terminal_punctuation,"When someone is confused, the reader often needs both:",the correction
14,Responding to Confusion,6118,starts_lowercase; missing_terminal_punctuation,Aim for this order when possible:,acknowledge the confusion
14,Responding to Confusion,6195,missing_terminal_punctuation,Write a response that:,Acknowledges the confusion
14,Responding to Confusion,6285,starts_lowercase; missing_terminal_punctuation,Choose one misunderstanding from this unit. Write a short internal record explaining:,what the confusion was
15,Maintaining Consistent Email Style,6368,starts_lowercase,"By the end of this unit, I will be able to:","identify inconsistency in an email's tone, structure, or formatting."
15,Maintaining Consistent Email Style,6369,starts_lowercase,"- identify inconsistency in an email's tone, structure, or formatting.",rewrite an email to match a more consistent professional style.
15,Maintaining Consistent Email Style,6370,starts_lowercase,- rewrite an email to match a more consistent professional style.,write short emails that follow a standard structure.
15,Maintaining Consistent Email Style,6371,starts_lowercase,- write short emails that follow a standard structure.,explain why consistent email style matters for a team.
15,Maintaining Consistent Email Style,6380,missing_terminal_punctuation,Consistency means:,Using similar structures in similar situations
15,Maintaining Consistent Email Style,6387,missing_terminal_punctuation,Consistency helps:,Readers understand information quickly
15,Maintaining Consistent Email Style,6449,starts_lowercase; missing_terminal_punctuation,The consistent version is stronger because every part supports the same professional image:,clear subject line
15,Maintaining Consistent Email Style,6487,missing_terminal_punctuation,- Thank you.,"Kind regards,"
15,Maintaining Consistent Email Style,6520,missing_terminal_punctuation,Emails should use:,Clear paragraph breaks
15,Maintaining Consistent Email Style,6529,starts_lowercase; missing_terminal_punctuation,A reader can follow an email more easily when the message uses the same visible pattern each time:,clear subject line
15,Maintaining Consistent Email Style,6539,missing_terminal_punctuation,Mini comparison:,"Inconsistent layout makes the reader ask, ""Where is the main request?"""
15,Maintaining Consistent Email Style,6560,starts_lowercase; missing_terminal_punctuation,"When you rewrite it, decide:",what subject line is specific enough
15,Maintaining Consistent Email Style,6718,starts_lowercase; missing_terminal_punctuation,Try to include both:,one reason connected to reader confidence or speed
15,Maintaining Consistent Email Style,6725,starts_lowercase; missing_terminal_punctuation,Mini content frame:,why one stable style helps the reader
15,Maintaining Consistent Email Style,6827,starts_lowercase; missing_terminal_punctuation,Write:,one outward-facing message to the person or office involved
15,Maintaining Consistent Email Style,6832,starts_lowercase; missing_terminal_punctuation,Then add a note explaining:,how the audience changed your wording
15,Maintaining Consistent Email Style,6853,starts_lowercase,"Module 4 becomes stronger when you can explain not only what changed in the message, but why it changed. Use this audience map:",external office:
15,Maintaining Consistent Email Style,6854,starts_lowercase; missing_terminal_punctuation,- external office:,"needs a respectful, answerable question"
15,Maintaining Consistent Email Style,6857,starts_lowercase; missing_terminal_punctuation,- applicant or student:,often needs clearer explanation and less institutional shorthand
15,Maintaining Consistent Email Style,6860,starts_lowercase; missing_terminal_punctuation,- internal team:,"needs the practical effect, shared understanding, and next action"
15,Maintaining Consistent Email Style,6888,starts_lowercase; missing_terminal_punctuation,Why Version B works better:,it starts by keeping the relationship calm
15,Maintaining Consistent Email Style,6902,starts_lowercase; missing_terminal_punctuation,Choose one scenario:,an applicant is confused about required documents
15,Maintaining Consistent Email Style,6908,starts_lowercase; missing_terminal_punctuation,Write a three-part communication set:,one outward-facing message
15,Maintaining Consistent Email Style,6914,starts_lowercase; missing_terminal_punctuation,"After writing, explain:",what each reader needed most
15,Maintaining Consistent Email Style,6948,starts_lowercase; missing_terminal_punctuation,Use the grid to stop three common Module 4 problems:,giving too much background to the outside reader
15,Maintaining Consistent Email Style,6962,starts_lowercase; missing_terminal_punctuation,Choose one scenario:,a missing supporting document
15,Maintaining Consistent Email Style,6968,missing_terminal_punctuation,Write a two-stage rebuild:,First draft
15,Maintaining Consistent Email Style,7024,starts_lowercase; missing_terminal_punctuation,Now review the tone with this contrast:,blame language -> calm clarification
15,Maintaining Consistent Email Style,7038,missing_terminal_punctuation,- Weak:,"""You misunderstood the form. Please read the instructions again."""
15,Maintaining Consistent Email Style,7040,missing_terminal_punctuation,- Stronger:,"""Thank you for your message. To clarify the form process, the supporting document is uploaded after the main form is submitted. Please let us know if you would like us to confirm the next step in more detail."""
15,Maintaining Consistent Email Style,7065,starts_lowercase; missing_terminal_punctuation,Write three short openings:,to an external office
15,Maintaining Consistent Email Style,7071,starts_lowercase; missing_terminal_punctuation,"After writing, explain:",which opening gives the narrowest question
15,Maintaining Consistent Email Style,7102,starts_lowercase; missing_terminal_punctuation,"By the end of this module, you should be able to:",identify and correct common accuracy problems
15,Maintaining Consistent Email Style,7109,starts_lowercase; missing_terminal_punctuation,Use the module support in this order:,compare the weak and strong versions first
16,Editing for Accuracy,7121,starts_lowercase,"By the end of this unit, I will be able to:",identify basic grammar and accuracy problems in workplace writing.
16,Editing for Accuracy,7122,starts_lowercase,- identify basic grammar and accuracy problems in workplace writing.,correct common errors in short administrative texts.
16,Editing for Accuracy,7123,starts_lowercase,- correct common errors in short administrative texts.,revise a short email for more accurate language use.
16,Editing for Accuracy,7124,starts_lowercase,- revise a short email for more accurate language use.,edit a short paragraph for accuracy and clarity.
16,Editing for Accuracy,7133,missing_terminal_punctuation,"Accuracy refers to the **correct use of language**, including:",Grammar
16,Editing for Accuracy,7150,missing_terminal_punctuation,Correct the mistakes in each sentence.,*The applicant have submit the form yesterday.*
16,Editing for Accuracy,7203,starts_lowercase; missing_terminal_punctuation,Accuracy matters in administrative writing because errors can create:,confusion about time
16,Editing for Accuracy,7211,starts_lowercase; missing_terminal_punctuation,A small grammar error can become a workplace problem when it changes:,who must act
16,Editing for Accuracy,7248,starts_lowercase; missing_terminal_punctuation,"When you edit for accuracy, check one error family at a time:",verb form
16,Editing for Accuracy,7263,starts_lowercase; missing_terminal_punctuation,Work in a fixed order:,find the main grammar problem
17,Editing for Clarity,7493,starts_lowercase,"By the end of this unit, I will be able to:","identify vague, wordy, or poorly organized writing."
17,Editing for Clarity,7494,starts_lowercase,"- identify vague, wordy, or poorly organized writing.",rewrite sentences to make them clearer and more direct.
17,Editing for Clarity,7495,starts_lowercase,- rewrite sentences to make them clearer and more direct.,reorganize information for better logical flow.
17,Editing for Clarity,7496,starts_lowercase,- reorganize information for better logical flow.,revise a paragraph so it is easier to understand.
