source,paragraph_type,subtype,styles_or_forms,total,line_or_paragraph,style_or_form,kind,text
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,3213,plain-prompt-label,prompt-label,"Before submitting, check your explanation against the following:"
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,413,plain-in-div,div-content,"*""You submitted the wrong document. Please resend the correct version. We cannot continue the review until you fix this.""*"
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1214,plain-in-div,div-content,> *[Opening — acknowledge or establish context]*
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1215,plain-in-div,div-content,>
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1216,plain-in-div,div-content,> *[Purpose — state why you are writing]*
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1217,plain-in-div,div-content,>
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1218,plain-in-div,div-content,> *[Explanation — provide relevant background]*
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1219,plain-in-div,div-content,>
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1220,plain-in-div,div-content,> *[Request — state clearly what is needed]*
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,521,plain,body,**Internal →** can be slightly more direct
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,522,plain,body,**Interagency →** requires neutrality and objectivity
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,523,plain,body,**International / foreign office →** requires extra diplomacy and clarity
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1316,plain,body,"> *""We saw your message. Please send the corrected file. We also need you to check the translation. We want to finish the review soon.""*"
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1389,plain,body,"> *""We have some questions about the document. Can you explain the parts that are unclear? Also, is the date correct?""*"
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1720,plain,body,"> *""The timeline in your document is wrong. You didn't follow the updated instructions. Please correct it immediately so we can continue.""*"
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1769,plain,body,"> *""Thank you for sharing the updated document.""*"
markdown,instruction/prompt,short instruction,plain=32; plain-in-div=31,63,1776,plain,body,"> *""Upon review, it appears that the timeline in Section 3 may differ…""*"
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,19,plain,body,"This unit helps learners produce clear, precise, and unambiguous sentences in administrative and interagency writing. By the end of the unit, learners will be able to:"
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,283,plain,body,Write approximately **150 words** explaining the cause of an administrative problem to an internal reader. Your explanation should:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,574,plain,body,"You will write **two versions** of each message below: one for a domestic agency counterpart, and one for a foreign IP office."
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,671,plain,body,"Write approximately **150 words**. Your message must use at least three softening strategies, include clear reason-giving, and close cooperatively. Choose one situation:"
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,737,plain,body,"After sorting, discuss: What specific features make the cohesive examples easier to follow?"
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,1318,plain,body,"Your rewrite must add: context, a clear explanation for each request, appropriate sequencing, diplomatic tone, and a next-step statement."
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,1649,plain,body,"For each rewrite, add: a specific reference, a clearly scoped question, softening language, and (where appropriate) a next-step marker."
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,1910,plain,body,"Your message must include: a neutral identification of the issue, an impact statement, a specific reference, a polite correction request, and a next step."
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,40,plain-prompt-label,prompt-label,"For each sentence, identify:"
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,84,plain-prompt-label,prompt-label,"In the revised version, highlight or underline:"
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,191,plain-prompt-label,prompt-label,Use two or more shorter sentences when:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,223,plain-prompt-label,prompt-label,Rewrite the **original** model text (the unclear version) as **three to four clear sentences**. Follow these steps:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,247,plain-prompt-label,prompt-label,Write **three versions** of the same core message:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,289,plain-prompt-label,prompt-label,Choose one situation:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,310,plain-prompt-label,prompt-label,Check your writing for the following:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,348,plain-prompt-label,prompt-label,Choose one situation:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,1148,plain-in-div,div-content,"Notice how each sentence performs one clear function: opening, purpose, explanation, request, then next step."
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,3419,plain-in-div,div-content,*Executive-summary wording:* *The group agreed that the reporting template requires revision before implementation.*
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,3734,plain-in-div,div-content,Useful expressions:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,3787,plain-in-div,div-content,Useful structures:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,4133,plain-in-div,div-content,Useful structures:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,4167,plain-in-div,div-content,Useful patterns:
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,4179,plain-in-div,div-content,*Observed issue:* *Terminology queries increased from 6 in January to 21 in March.*
markdown,label/detail paragraph,label-detail row,plain-prompt-label=183; plain=34; plain-in-div=29,246,4183,plain-in-div,div-content,The second version does more than report a problem: it explains the likely consequence and proposes a realistic response.
markdown,label/detail paragraph,model contrast row,plain-in-div=2; plain=1,3,197,plain,body,"*Dense:* Although the document was received on time, the translation contained several inconsistencies that required clarification, which meant we could not proceed with the review."
markdown,label/detail paragraph,model contrast row,plain-in-div=2; plain=1,3,6213,plain-in-div,div-content,*Original:* Section 12(4) requires procedural harmonisation across offices.
markdown,label/detail paragraph,model contrast row,plain-in-div=2; plain=1,3,6689,plain-in-div,div-content,*Loose justification:* *We should shorten the process because it takes too long.*
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,541,plain,body,"Version 1: *""Send the corrected file today.""*"
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,542,plain,body,"Version 2: *""Could you kindly share the corrected file when available?""*"
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,543,plain,body,"Version 3: *""We would appreciate receiving the updated file at your earliest convenience.""*"
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,1870,plain-in-div,div-content,"*Direct:* *You used the wrong date in Section 3, and this has delayed our work.*"
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,2177,plain-in-div,div-content,"*Unsequenced:* *Please confirm the date, review the terminology, and send the updated file.*"
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,2493,plain-in-div,div-content,*Vague instruction:* *Check the file and do the update.*
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,2495,plain-in-div,div-content,"*Procedural instruction:* *Examine the file for missing information, then update the internal record to reflect any confirmed changes.*"
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,2791,plain-in-div,div-content,*Bare announcement:* *Staff should use the updated form.*
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,3108,plain-in-div,div-content,*Overgeneralised:* *The instructions are unclear and this is causing problems.*
markdown,label/detail paragraph,model/example row,plain-in-div=7; plain=3,10,3417,plain-in-div,div-content,*Meeting-note wording:* *Everyone agreed that the template needs to be revised before it is rolled out.*
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,44,plain,body,Then discuss: **When does a long sentence become unclear?** What makes administrative writing difficult to read?
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,91,plain,body,Reflect: How do these features make the revised version easier to process?
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,449,plain,body,Reflect: How do these features change the reader's experience of the message?
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,782,plain,body,Reflect: How do these elements work together to improve readability?
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,1439,plain,body,"Discuss: Why are specific references essential in administrative communication, and what happens when they are missing?"
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,2084,plain,body,"Discuss: When a message contains multiple requests, what makes some clearer than others? What happens when priority order is not stated?"
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,2128,plain,body,Discuss: Why does making dependency explicit reduce the risk of misunderstanding?
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,3713,plain,body,Discuss: Why does an effective external inquiry follow this sequence? What would happen if the questions appeared before the context?
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,67,plain-prompt-label,prompt-label,Identify:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,483,plain-prompt-label,prompt-label,Functions:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,545,plain-prompt-label,prompt-label,Audiences:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,758,plain-prompt-label,prompt-label,Identify:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,1725,plain-prompt-label,prompt-label,Discuss:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,4417,plain-prompt-label,prompt-label,Discuss:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,6129,plain-prompt-label,prompt-label,Discuss:
markdown,label/detail paragraph,prompt/list-introduction row,plain=12; plain-prompt-label=9,21,6513,plain-prompt-label,prompt-label,Discuss:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,1112,plain-prompt-label,prompt-label,High-level professional emails typically follow this sequence:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,1181,plain-prompt-label,prompt-label,"Rewrite the original (informal) model email as a structured, diplomatic version. Your rewrite must include:"
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,1259,plain-prompt-label,prompt-label,Write a high-level professional email of **190–220 words**. Your email must include:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,1335,plain-prompt-label,prompt-label,Write a **190–220 word** high-level email to an interagency counterpart. Your email must include:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,2312,plain-prompt-label,prompt-label,Write a **190–220 word** layered request message to a domestic or foreign office. Your message must include:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5823,plain-prompt-label,prompt-label,Read the three sources from Section A again carefully. Then complete the following task:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,6068,plain-prompt-label,prompt-label,Write a **220–260 word** synthesis combining information from three or more sources. Your synthesis must include:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,6375,plain-prompt-label,prompt-label,Write a briefing of approximately **220–260 words** for non-expert readers in partner offices. Your writing must:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,1666,plain,body,Write a **190–220 word** clarification request to a partner office regarding inconsistencies found in a shared document. Your message must include:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,2026,plain,body,Write a **190–220 word** diplomatic error-notification message to a domestic or foreign office. Your message must include:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5458,plain,body,"You are about to read an executive brief on a coordination issue between three regional offices. Before reading, predict:"
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5624,plain,body,> - Office A: portal instructions are unclear; staff are submitting incomplete files.
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5625,plain,body,> - Office B: the portal times out before large files can be uploaded — this has caused 40+ resubmissions this month.
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5626,plain,body,"> - Office C: no issues with the portal, but delays in receiving confirmation emails after submission."
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5767,plain,body,Read the three short extracts below. They come from three different sources on the same issue: a delay in applicant processing.
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5825,plain,body,Write a synthesis paragraph (80–100 words) that combines the key information from all three sources. Your paragraph must:
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,5914,plain-in-div,div-content,*Source-listing:* *Office A says instructions are unclear. Office B says the timeline is too short. Office C says both are issues.*
markdown,label/detail paragraph,source/input row,plain=9; plain-prompt-label=8; plain-in-div=2,19,6951,plain-in-div,div-content,"*Office-by-office listing:* *Office B is delayed, Office C has not started, and Office B and C submitted several queries.*"
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,528,plain-in-div,div-content,| Label | Details |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,529,plain-in-div,div-content,|---|---|
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,530,plain-in-div,div-content,| Internal | *Could you send the corrected file today?* |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,531,plain-in-div,div-content,| Interagency | *Could you confirm whether an updated file is available for this case?* |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,532,plain-in-div,div-content,| Foreign office | *We would appreciate it if you could confirm whether an updated file is available at your earliest convenience.* |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,854,plain-in-div,div-content,| Label | Details |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,855,plain-in-div,div-content,|---|---|
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,856,plain-in-div,div-content,| Sentence 1 | Introduce the topic |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,1499,plain,body,| Introducing clarification | Referencing documents |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,1500,plain,body,| --- | --- |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,1501,plain,body,|  |  |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,1503,plain,body,| Formulating questions | Next steps |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,1504,plain,body,| --- | --- |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,1505,plain,body,|  |  |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,3373,plain,body,| Office | Attendees | Items on Agenda | Items Resolved | Items Deferred |
markdown,table row,markdown table row,plain=116; plain-in-div=10,126,3374,plain,body,| -------- | ----------- | ----------------- | ---------------- | ---------------- |
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,65,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,82,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,237,heading-4,heading,#### Write Your Own Complex Sentence — Sentence-Control Practice
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,281,heading-4,heading,#### Scenario-Based Free Write — Realistic Administrative Response
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,392,heading-4,heading,#### Discussion Questions — Activate Prior Knowledge
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,423,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,440,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,572,heading-4,heading,#### Tone Transformation — Adjust Register And Diplomacy
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,1121,heading-5,heading,##### Useful Phrases
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,1460,heading-5,heading,##### Formulating clear questions
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,4536,heading-5,heading,##### Paragraph-Level Transformation — Paragraph Revision Practice
markdown,title/heading,activity heading,heading-4=126; heading-5=4,130,4873,heading-5,heading,##### Expansion Task — Develop Supporting Detail
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,30,heading-4,heading,#### Identifying Confusing Sentences — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,169,heading-4,heading,#### 3. Clarity Patterns For Administrative Writing — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,455,heading-4,heading,#### 1. Softening Strategies — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,492,heading-4,heading,#### 2. Neutral Clarification Language — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,519,heading-4,heading,#### 3. Audience-Appropriate Tone — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,788,heading-4,heading,#### 1. Cohesive Devices — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,822,heading-4,heading,#### 2. Reference And Continuity — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,846,heading-4,heading,#### 3. Thematic Progression — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,4141,heading-5,heading,##### Sentence Rewriting — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,4507,heading-5,heading,##### Sentence Rewriting — Guided Skill Practice
markdown,title/heading,guided skill heading,heading-4=20; heading-5=3,23,4846,heading-5,heading,##### Sentence Rewriting — Guided Skill Practice
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1123,bold-only,bold-title,**Opening / Context**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1127,bold-only,bold-title,**Purpose**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1131,bold-only,bold-title,**Explanation**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1135,bold-only,bold-title,**Requests**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1139,bold-only,bold-title,**Next Steps**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1450,bold-only,bold-title,**Introducing clarification**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,1455,bold-only,bold-title,**Referencing documents**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,2381,bold-only,bold-title,**Office Circular — Document Verification Procedure (Revised)**
markdown,title/heading,other title,bold-only=21; heading-4=20,41,2522,heading-4,heading,#### Information Reorganisation — Restructure Source Information
markdown,title/heading,other title,bold-only=21; heading-4=20,41,3065,heading-4,heading,#### Classification / Matching — Match Functions And Forms
markdown,title/heading,other title,bold-only=21; heading-4=20,41,3166,heading-4,heading,#### Constrained Free Write — Controlled Independent Response
markdown,title/heading,other title,bold-only=21; heading-4=20,41,3447,heading-4,heading,#### Format Conversion — Change Document Format
markdown,title/heading,other title,bold-only=21; heading-4=20,41,3742,heading-4,heading,#### Classification / Matching — Match Functions And Forms
markdown,title/heading,other title,bold-only=21; heading-4=20,41,3795,heading-4,heading,#### Phrase Bank Building — Build Reusable Language
markdown,title/heading,other title,bold-only=21; heading-4=20,41,4186,heading-4,heading,#### Error Identification & Correction — Find And Fix Errors
markdown,title/heading,other title,bold-only=21; heading-4=20,41,4795,heading-4,heading,#### Reading-To-Write Input — Source-Based Preparation
markdown,title/heading,rubric heading,heading-4=3; heading-3=1,4,7841,heading-4,heading,#### Self-Assessment Rubric — Evaluate Your Draft
markdown,title/heading,rubric heading,heading-4=3; heading-3=1,4,7944,heading-4,heading,#### How To Use This Rubric
markdown,title/heading,rubric heading,heading-4=3; heading-3=1,4,7982,heading-4,heading,#### Analytic Rubric
markdown,title/heading,rubric heading,heading-4=3; heading-3=1,4,7936,heading-3,heading,### Unit 23 Capstone Assessment Rubric
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,36,numbered,numbered-list,2. *The meeting participants agreed to revise the guidelines which were noted by several offices to be inconsistent with previous instructions that require further study.*
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,38,numbered,numbered-list,"3. *Since the system update was completed last month but the manual was not updated, staff reported errors that made processing applications difficult which resulted in delays.*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,208,numbered,numbered-list,"2. *Since several offices raised concerns about the inconsistency, we will draft a revised explanation to ensure alignment.*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,211,numbered,numbered-list,"3. *We must confirm whether the translation is final, and we must also check whether the correct version was submitted, and this is needed before the examination can proceed.*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,214,numbered,numbered-list,4. *The department will review the file once the updated form has been received and after the confirmation from the regional office has been processed.*
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,293,numbered,numbered-list,2. An applicant's file has been placed on hold because two pieces of required documentation were submitted in different versions. You need to explain the issue to a colleague who will follow up with the applicant.
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,295,numbered,numbered-list,3. A joint interagency report was submitted late due to a series of internal delays. You have been asked to provide a written account of the contributing factors for inclusion in a project review note.
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,328,numbered,numbered-list,2. *They updated the database after reviewing the submitted documents that contained several errors.*
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,330,numbered,numbered-list,3. *The revision was sent to the department because they requested clarification even though the previous version was approved.*
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,352,numbered,numbered-list,2. An applicant's case has been delayed at two separate stages of review. The delays have different causes and different implications for next steps. Write an internal note explaining the situation to a colleague who will need to follow up.
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,354,numbered,numbered-list,3. A joint report produced with a partner agency contains inconsistencies between sections written by different contributors. The inconsistencies affect both terminology and formatting. Write a summary of the problem for the project coordinator.
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,723,numbered,numbered-list,"2. *""The review committee raised several questions following the submission. To address these, we have prepared a summary of outstanding concerns and will distribute it before Monday's meeting.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,725,numbered,numbered-list,"3. *""The translation was delayed. The office was informed. There is a meeting next week. We will discuss the applicant file.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,727,numbered,numbered-list,"4. *""Because the translation was delayed, we notified the relevant office and requested an extension. The issue will be reviewed at next week's meeting.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,729,numbered,numbered-list,"5. *""Several errors were found in the document. The document was sent for correction. The team reviewed the corrected version. Approval was given.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,731,numbered,numbered-list,"6. *""Several errors were identified and the document was returned for correction. Once the revised version had been reviewed and approved, it was forwarded to the relevant department.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,733,numbered,numbered-list,"7. *""We confirmed the applicant's details. There is a new procedure. The deadline is Friday.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,735,numbered,numbered-list,"8. *""We have confirmed the applicant's details and are now ready to proceed. In line with the updated procedure, the completed file must be submitted by Friday.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,979,numbered,numbered-list,"2. *""There were delays in the translation process. Some information was missing. The office did not receive the updated version. We must check which version is correct.""*"
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,7679,numbered,numbered-list,2. **Email from Office B:** The office is experiencing delays because some staff continue to use an outdated version of the applicant form. The updated form was received but has not been implemented consistently.
markdown,SUSPICIOUS_NUMBERED_START,numbered item starts above 1 after boundary,numbered=1,1,7681,numbered,numbered-list,3. **Extract from a meeting summary:** Multiple offices raised questions about applicant communication timelines. No resolution was recorded and no action points were assigned.
