paragraph_type,forms,total,line,form,kind,text
title:extension task - advanced transfer practice,heading-4=23,23,1010,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,1356,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,1686,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,2047,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,2332,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,2645,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:f. review & self-assessment,heading-3=23,23,313,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,626,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,947,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1282,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1609,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1955,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,2261,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,2568,heading-3,heading,### F. Review & Self-Assessment
title:format conversion - change document format,heading-4=4,4,3439,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:format conversion - change document format,heading-4=4,4,5602,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:format conversion - change document format,heading-4=4,4,6316,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:format conversion - change document format,heading-4=4,4,7149,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:formulating clear questions,bold-only=1,1,1457,bold-only,bold-title,**Formulating clear questions**
title:g. editing,heading-3=23,23,327,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,647,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,968,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1307,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1634,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1980,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,2286,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,2592,heading-3,heading,### G. Editing
title:guided peer review - structured feedback exchange,heading-4=12,12,628,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,949,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,2570,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,2887,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,3194,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,3514,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,4275,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,4639,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:h. homework & extension,heading-3=23,23,348,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,669,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,989,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1328,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1659,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2004,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2305,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2621,heading-3,heading,### H. Homework & Extension
title:homework writing task - independent administrative writing,heading-4=23,23,350,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,671,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,991,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,1330,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,1661,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,2021,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,2307,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,2623,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:how to use this rubric,heading-4=1,1,7931,heading-4,heading,#### How To Use This Rubric
title:identify improvements in:,bold-only=3,3,5161,bold-only,bold-title,**Identify Improvements In:**
title:identify improvements in:,bold-only=3,3,5489,bold-only,bold-title,**Identify Improvements In:**
title:identify improvements in:,bold-only=3,3,5797,bold-only,bold-title,**Identify Improvements In:**
title:identifying confusing sentences - guided skill practice,heading-4=1,1,30,heading-4,heading,#### Identifying Confusing Sentences — Guided Skill Practice (A2)
title:information reorganisation - restructure source information,heading-4=2,2,2514,heading-4,heading,#### Information Reorganisation — Restructure Source Information (D5)
title:information reorganisation - restructure source information,heading-4=2,2,7127,heading-4,heading,#### Information Reorganisation — Restructure Source Information (D5)
title:input n - email from office a,bold-only=1,1,7335,bold-only,bold-title,**Input 1 — Email from Office A**
title:input n - email from office b,bold-only=1,1,7338,bold-only,bold-title,**Input 2 — Email from Office B**
title:input n - internal meeting notes,bold-only=1,1,7341,bold-only,bold-title,**Input 3 — Internal Meeting Notes**
title:input n - updated instructions (issued last week),bold-only=1,1,7344,bold-only,bold-title,**Input 4 — Updated Instructions (Issued Last Week)**
title:introducing clarification,bold-only=1,1,1447,bold-only,bold-title,**Introducing clarification**
title:issues identified,bold-only=1,1,6901,bold-only,bold-title,**Issues Identified**
title:key points discussed:,bold-only=1,1,3327,bold-only,bold-title,**Key Points Discussed:**
title:key points:,bold-only=1,1,5476,bold-only,bold-title,**Key Points:**
title:learn - annotations:,bold-only=2,2,2739,bold-only,bold-title,**Learn — Annotations:**
title:learn - annotations:,bold-only=2,2,5181,bold-only,bold-title,**Learn — Annotations:**
title:learn - common forms:,bold-only=1,1,467,bold-only,bold-title,**Learn — Common Forms:**
title:learn - common patterns:,bold-only=1,1,117,bold-only,bold-title,**Learn — Common Patterns:**
title:learn - discuss:,bold-only=1,1,5772,bold-only,bold-title,**Learn — Discuss:**
title:learn - example:,bold-only=15,15,205,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,3722,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,3775,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,4121,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,4155,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6203,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6229,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6273,bold-only,bold-title,**Learn — Example:**
title:learn - examples:,bold-only=6,6,504,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,829,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4492,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4521,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4830,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4858,bold-only,bold-title,**Learn — Examples:**
title:learn - expressions:,bold-only=1,1,3740,bold-only,bold-title,**Learn — Expressions:**
title:learn - functions:,bold-only=2,2,3065,bold-only,bold-title,**Learn — Functions:**
title:learn - functions:,bold-only=2,2,3754,bold-only,bold-title,**Learn — Functions:**
title:learn - headings:,bold-only=1,1,3811,bold-only,bold-title,**Learn — Headings:**
title:learn - key structures:,bold-only=1,1,4305,bold-only,bold-title,**Learn — Key Structures:**
title:learn - original:,bold-only=1,1,5009,bold-only,bold-title,**Learn — Original:**
title:learn - pattern:,bold-only=1,1,851,bold-only,bold-title,**Learn — Pattern:**
title:learn - phrases:,bold-only=2,2,3793,bold-only,bold-title,**Learn — Phrases:**
title:learn - phrases:,bold-only=2,2,5881,bold-only,bold-title,**Learn — Phrases:**
title:learn - proposed changes:,bold-only=1,1,5018,bold-only,bold-title,**Learn — Proposed Changes:**
title:learn - recommendations:,bold-only=1,1,4917,bold-only,bold-title,**Learn — Recommendations:**
title:learn - recommended structure:,bold-only=1,1,6658,bold-only,bold-title,**Learn — Recommended Structure:**
title:learn - revision checklist:,bold-only=1,1,5292,bold-only,bold-title,**Learn — Revision Checklist:**
title:learn - scenario:,bold-only=1,1,4036,bold-only,bold-title,**Learn — Scenario:**
title:learn - sentences:,bold-only=1,1,3075,bold-only,bold-title,**Learn — Sentences:**
title:learn - statements:,bold-only=1,1,5109,bold-only,bold-title,**Learn — Statements:**
title:learn - template:,bold-only=2,2,1209,bold-only,bold-title,**Learn — Template:**
title:learn - template:,bold-only=2,2,4926,bold-only,bold-title,**Learn — Template:**
title:learn - useful expressions - key points:,bold-only=1,1,5548,bold-only,bold-title,**Learn — Useful Expressions — Key Points:**
title:learn - useful expressions - overviews:,bold-only=1,1,5538,bold-only,bold-title,**Learn — Useful Expressions — Overviews:**
title:learn - useful expressions:,bold-only=1,1,5213,bold-only,bold-title,**Learn — Useful Expressions:**
title:learn - useful patterns - contrast and agreement:,bold-only=1,1,5850,bold-only,bold-title,**Learn — Useful Patterns — Contrast And Agreement:**
title:learn - useful patterns - grouping by theme:,bold-only=1,1,5840,bold-only,bold-title,**Learn — Useful Patterns — Grouping By Theme:**
title:learn - useful patterns - insight:,bold-only=1,1,5860,bold-only,bold-title,**Learn — Useful Patterns — Insight:**
title:learn - version a:,bold-only=1,1,4397,bold-only,bold-title,**Learn — Version A:**
title:learn - version b:,bold-only=1,1,4404,bold-only,bold-title,**Learn — Version B:**
title:learn - worked mini-inquiry:,bold-only=1,1,3823,bold-only,bold-title,**Learn — Worked Mini-Inquiry:**
title:meeting notes - n february,bold-only=1,1,5612,bold-only,bold-title,**Meeting notes — 18 February**
title:meeting summary - guideline revision discussion (n october),bold-only=1,1,3321,bold-only,bold-title,**Meeting Summary — Guideline Revision Discussion (12 October)**
title:mini-worked example:,bold-only=1,1,6939,bold-only,bold-title,**Mini-Worked Example:**
title:model rewriting - model revision practice,heading-4=12,12,1176,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,1518,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,1878,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,2185,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,2496,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,2794,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,3111,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:model rewriting - model revision practice,heading-4=12,12,3420,heading-4,heading,#### Model Rewriting — Model Revision Practice (D1)
title:module introduction,heading-3=6,6,5,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,1022,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,2344,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,3605,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,5073,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,6087,heading-3,heading,### Module Introduction
title:module n - advanced editing & revision skills (units n-n),heading-2=1,1,5069,heading-2,heading,## Module 5 — Advanced Editing & Revision Skills (Units 16–18)
title:module n - advanced foundations for administrative writing (units n-n),heading-2=1,1,1,heading-2,heading,## Module 1 — Advanced Foundations for Administrative Writing (Units 1–3)
title:module n - capstone & applied administrative writing (units n-n),heading-2=1,1,6083,heading-2,heading,## Module 6 — Capstone & Applied Administrative Writing (Units 19–23)
title:module n - cross-border & interagency communication (units n-n),heading-2=1,1,3601,heading-2,heading,## Module 4 — Cross-Border & Interagency Communication (Units 12–15)
title:module n - professional email writing for interagency contexts (units n-n),heading-2=1,1,1018,heading-2,heading,## Module 2 — Professional Email Writing for Interagency Contexts (Units 4–7)
title:module n - writing complex procedures & internal explanations (units n-n),heading-2=1,1,2340,heading-2,heading,## Module 3 — Writing Complex Procedures & Internal Explanations (Units 8–11)
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,4601,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice (E4)
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,7176,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice (E4)
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,7501,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice (E4)
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,7776,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice (E4)
title:neutral clarification language - guided skill practice,heading-4=1,1,496,heading-4,heading,#### 2. Neutral Clarification Language — Guided Skill Practice (C3)
title:next steps,bold-only=2,2,1136,bold-only,bold-title,**Next Steps**
title:next steps,bold-only=2,2,6915,bold-only,bold-title,**Next Steps**
title:note on the earlier ten-item version,heading-4=1,1,7958,heading-4,heading,#### Note On The Earlier Ten-Item Version
title:noticing task - identify the writing pattern,heading-4=7,7,82,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:noticing task - identify the writing pattern,heading-4=7,7,444,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:noticing task - identify the writing pattern,heading-4=7,7,775,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:noticing task - identify the writing pattern,heading-4=7,7,1427,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:noticing task - identify the writing pattern,heading-4=7,7,2115,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:noticing task - identify the writing pattern,heading-4=7,7,2433,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:noticing task - identify the writing pattern,heading-4=7,7,3037,heading-4,heading,#### Noticing Task — Identify The Writing Pattern (B2)
title:office circular - document verification procedure (revised),bold-only=1,1,2378,bold-only,bold-title,**Office Circular — Document Verification Procedure (Revised)**
