paragraph_type,forms,total,line,form,kind,text
title:comparative peer review - compare revision choices,heading-4=5,5,7566,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices
title:compare two texts - exemplar analysis,heading-4=1,1,7676,heading-4,heading,#### Compare Two Texts — Exemplar Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,65,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,427,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,765,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,1075,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,1410,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,1744,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,2099,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:compare two texts - tone and clarity analysis,heading-4=22,22,2409,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis
title:constrained free write - controlled independent response,heading-4=1,1,3175,heading-4,heading,#### Constrained Free Write — Controlled Independent Response
title:contrastive warm-up - compare initial choices,heading-4=2,2,4408,heading-4,heading,#### Contrastive Warm-Up — Compare Initial Choices
title:contrastive warm-up - compare initial choices,heading-4=2,2,6130,heading-4,heading,#### Contrastive Warm-Up — Compare Initial Choices
title:contrastive warm-up - compare initial choices (code) ★,heading-4=1,1,1724,heading-4,heading,#### Contrastive Warm-Up — Compare Initial Choices (A6) ★
title:coordination (joining equal ideas),heading-4=1,1,109,heading-4,heading,#### 1. Coordination (Joining Equal Ideas)
title:d. clarifying or specifying,heading-5=1,1,811,heading-5,heading,##### D. Clarifying Or Specifying
title:d. guided writing,heading-3=23,23,226,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,561,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,891,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,1186,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,1528,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,1888,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,2195,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,2511,heading-3,heading,### D. Guided Writing
title:data interpretation input - source data analysis,heading-4=4,4,3376,heading-4,heading,#### Data Interpretation Input — Source Data Analysis
title:data interpretation input - source data analysis,heading-4=4,4,4095,heading-4,heading,#### Data Interpretation Input — Source Data Analysis
title:data interpretation input - source data analysis,heading-4=4,4,5519,heading-4,heading,#### Data Interpretation Input — Source Data Analysis
title:data interpretation input - source data analysis,heading-4=4,4,6955,heading-4,heading,#### Data Interpretation Input — Source Data Analysis
title:decisions / action items:,bold-only=1,1,3351,bold-only,bold-title,**Decisions / Action Items:**
title:describing actions taken,heading-4=1,1,7061,heading-4,heading,#### 3. Describing Actions Taken
title:describing risk,heading-4=1,1,4127,heading-4,heading,#### 1. Describing Risk
title:diplomatic frames for highlighting errors,heading-4=1,1,1824,heading-4,heading,#### 1. Diplomatic Frames for Highlighting Errors
title:discussion questions - activate prior knowledge,heading-4=2,2,396,heading-4,heading,#### Discussion Questions — Activate Prior Knowledge
title:discussion questions - activate prior knowledge,heading-4=2,2,7664,heading-4,heading,#### Discussion Questions — Activate Prior Knowledge
title:draft a justification for one scenario - justification writing practice,heading-4=1,1,6727,heading-4,heading,#### Draft A Justification For One Scenario — Justification Writing Practice
title:e. freer writing,heading-3=23,23,288,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,607,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,938,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,1264,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,1590,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,1937,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,2243,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,2556,heading-3,heading,### E. Freer Writing
title:editing exercise - conditional and hedging structures,heading-4=1,1,4316,heading-4,heading,#### Editing Exercise — Conditional And Hedging Structures
title:editing exercise - improve clarity and flow,heading-4=8,8,329,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,656,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,982,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,1321,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,1648,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,1994,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,2300,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing exercise - improve clarity and flow,heading-4=8,8,3235,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow
title:editing workshop - paragraph-level,heading-4=10,10,2611,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,2928,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,3555,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,3956,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,4680,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,5705,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,6037,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:editing workshop - paragraph-level,heading-4=10,10,6438,heading-4,heading,#### Editing Workshop — Paragraph-Level
title:error identification & correction - find and fix errors,heading-4=2,2,4195,heading-4,heading,#### Error Identification & Correction — Find And Fix Errors
title:error identification & correction - find and fix errors,heading-4=2,2,5246,heading-4,heading,#### Error Identification & Correction — Find And Fix Errors
title:error identification and correction - guided skill practice,heading-4=1,1,7428,heading-4,heading,#### 1. Error Identification And Correction — Guided Skill Practice
title:error identification and correction - self-diagnosis,heading-4=1,1,7733,heading-4,heading,#### Error Identification And Correction — Self-Diagnosis
title:expansion task - develop supporting detail,heading-4=2,2,2788,heading-4,heading,#### Expansion Task — Develop Supporting Detail
title:expansion task - develop supporting detail,heading-4=2,2,4882,heading-4,heading,#### Expansion Task — Develop Supporting Detail
title:explaining impact and proposing mitigation,heading-4=1,1,4163,heading-4,heading,#### 2. Explaining Impact and Proposing Mitigation
title:explaining impact without assigning blame,heading-4=1,1,1851,heading-4,heading,#### 2. Explaining Impact Without Assigning Blame
title:explaining purpose and impact,heading-4=1,1,6237,heading-4,heading,#### 2. Explaining Purpose and Impact
title:explanation,bold-only=1,1,1140,bold-only,bold-title,**Explanation**
title:extension task - advanced transfer practice,heading-4=23,23,369,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,695,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,1022,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,1368,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,1698,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,2059,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,2344,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:extension task - advanced transfer practice,heading-4=23,23,2662,heading-4,heading,#### Extension Task — Advanced Transfer Practice
title:f. review & self-assessment,heading-3=23,23,313,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,633,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,959,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1294,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1621,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1967,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,2273,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,2585,heading-3,heading,### F. Review & Self-Assessment
title:format conversion - change document format,heading-4=4,4,3456,heading-4,heading,#### Format Conversion — Change Document Format
title:format conversion - change document format,heading-4=4,4,5619,heading-4,heading,#### Format Conversion — Change Document Format
title:format conversion - change document format,heading-4=4,4,6333,heading-4,heading,#### Format Conversion — Change Document Format
title:format conversion - change document format,heading-4=4,4,7169,heading-4,heading,#### Format Conversion — Change Document Format
title:formulating clear questions,heading-4=1,1,1469,heading-4,heading,#### Formulating clear questions
title:g. editing,heading-3=23,23,327,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,654,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,980,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1319,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1646,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1992,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,2298,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,2609,heading-3,heading,### G. Editing
title:guided peer review - structured feedback exchange,heading-4=12,12,635,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,961,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,2587,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,2904,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,3211,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,3531,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,4292,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:guided peer review - structured feedback exchange,heading-4=12,12,4656,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange
title:h. homework & extension,heading-3=23,23,348,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,676,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1001,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1340,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1671,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2016,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2317,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2638,heading-3,heading,### H. Homework & Extension
title:homework writing task - independent administrative writing,heading-4=23,23,350,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,678,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,1003,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,1342,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,1673,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,2033,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,2319,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:homework writing task - independent administrative writing,heading-4=23,23,2640,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing
title:how to use this rubric,heading-4=1,1,7953,heading-4,heading,#### How To Use This Rubric
title:identify improvements in:,bold-only=3,3,5178,bold-only,bold-title,**Identify Improvements In:**
title:identify improvements in:,bold-only=3,3,5506,bold-only,bold-title,**Identify Improvements In:**
title:identify improvements in:,bold-only=3,3,5814,bold-only,bold-title,**Identify Improvements In:**
title:identifying confusing sentences - guided skill practice,heading-4=1,1,30,heading-4,heading,#### Identifying Confusing Sentences — Guided Skill Practice
title:information reorganisation - restructure source information,heading-4=2,2,2531,heading-4,heading,#### Information Reorganisation — Restructure Source Information
title:information reorganisation - restructure source information,heading-4=2,2,7147,heading-4,heading,#### Information Reorganisation — Restructure Source Information
title:input n - email from office a,bold-only=1,1,7355,bold-only,bold-title,**Input 1 — Email from Office A**
title:input n - email from office b,bold-only=1,1,7358,bold-only,bold-title,**Input 2 — Email from Office B**
title:input n - internal meeting notes,bold-only=1,1,7361,bold-only,bold-title,**Input 3 — Internal Meeting Notes**
title:input n - updated instructions (issued last week),bold-only=1,1,7364,bold-only,bold-title,**Input 4 — Updated Instructions (Issued Last Week)**
title:introducing clarification,bold-only=1,1,1459,bold-only,bold-title,**Introducing clarification**
title:issues identified,bold-only=1,1,6921,bold-only,bold-title,**Issues Identified**
title:key points discussed:,bold-only=1,1,3344,bold-only,bold-title,**Key Points Discussed:**
title:key points:,bold-only=1,1,5493,bold-only,bold-title,**Key Points:**
title:learn - annotations:,bold-only=2,2,2756,bold-only,bold-title,**Learn — Annotations:**
title:learn - annotations:,bold-only=2,2,5198,bold-only,bold-title,**Learn — Annotations:**
title:learn - common forms:,bold-only=1,1,467,bold-only,bold-title,**Learn — Common Forms:**
title:learn - common patterns:,bold-only=1,1,117,bold-only,bold-title,**Learn — Common Patterns:**
title:learn - discuss:,bold-only=1,1,5789,bold-only,bold-title,**Learn — Discuss:**
title:learn - example:,bold-only=15,15,205,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,3739,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,3792,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,4138,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,4172,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6220,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6246,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6290,bold-only,bold-title,**Learn — Example:**
title:learn - examples:,bold-only=6,6,507,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,839,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4509,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4538,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4847,bold-only,bold-title,**Learn — Examples:**
title:learn - examples:,bold-only=6,6,4875,bold-only,bold-title,**Learn — Examples:**
title:learn - expressions:,bold-only=1,1,3757,bold-only,bold-title,**Learn — Expressions:**
title:learn - functions:,bold-only=2,2,3082,bold-only,bold-title,**Learn — Functions:**
title:learn - functions:,bold-only=2,2,3771,bold-only,bold-title,**Learn — Functions:**
title:learn - headings:,bold-only=1,1,3828,bold-only,bold-title,**Learn — Headings:**
title:learn - key structures:,bold-only=1,1,4322,bold-only,bold-title,**Learn — Key Structures:**
title:learn - original:,bold-only=1,1,5026,bold-only,bold-title,**Learn — Original:**
title:learn - pattern:,bold-only=1,1,861,bold-only,bold-title,**Learn — Pattern:**
title:learn - phrases:,bold-only=2,2,3810,bold-only,bold-title,**Learn — Phrases:**
title:learn - phrases:,bold-only=2,2,5898,bold-only,bold-title,**Learn — Phrases:**
title:learn - proposed changes:,bold-only=1,1,5035,bold-only,bold-title,**Learn — Proposed Changes:**
title:learn - recommendations:,bold-only=1,1,4934,bold-only,bold-title,**Learn — Recommendations:**
title:learn - recommended structure:,bold-only=1,1,6675,bold-only,bold-title,**Learn — Recommended Structure:**
title:learn - revision checklist:,heading-4=1,1,5309,heading-4,heading,#### Learn — Revision Checklist:
title:learn - scenario:,heading-4=1,1,4053,heading-4,heading,#### Learn — Scenario:
title:learn - sentences:,heading-4=1,1,3092,heading-4,heading,#### Learn — Sentences:
title:learn - statements:,bold-only=1,1,5126,bold-only,bold-title,**Learn — Statements:**
title:learn - template:,heading-4=2,2,1221,heading-4,heading,#### Learn — Template:
title:learn - template:,heading-4=2,2,4943,heading-4,heading,#### Learn — Template:
title:learn - useful expressions - key points:,bold-only=1,1,5565,bold-only,bold-title,**Learn — Useful Expressions — Key Points:**
title:learn - useful expressions - overviews:,bold-only=1,1,5555,bold-only,bold-title,**Learn — Useful Expressions — Overviews:**
title:learn - useful expressions:,bold-only=1,1,5230,bold-only,bold-title,**Learn — Useful Expressions:**
title:learn - useful patterns - contrast and agreement:,bold-only=1,1,5867,bold-only,bold-title,**Learn — Useful Patterns — Contrast And Agreement:**
title:learn - useful patterns - grouping by theme:,bold-only=1,1,5857,bold-only,bold-title,**Learn — Useful Patterns — Grouping By Theme:**
title:learn - useful patterns - insight:,bold-only=1,1,5877,bold-only,bold-title,**Learn — Useful Patterns — Insight:**
title:learn - version a:,bold-only=1,1,4414,bold-only,bold-title,**Learn — Version A:**
title:learn - version b:,bold-only=1,1,4421,bold-only,bold-title,**Learn — Version B:**
title:learn - worked mini-inquiry:,bold-only=1,1,3840,bold-only,bold-title,**Learn — Worked Mini-Inquiry:**
title:meeting notes - n february,bold-only=1,1,5629,bold-only,bold-title,**Meeting notes — 18 February**
title:meeting summary - guideline revision discussion (n october),heading-4=1,1,3338,heading-4,heading,#### Meeting Summary — Guideline Revision Discussion (12 October)
title:mini-worked example:,bold-only=1,1,6959,bold-only,bold-title,**Mini-Worked Example:**
title:model rewriting - model revision practice,heading-4=12,12,1188,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,1530,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,1890,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,2197,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,2513,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,2811,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,3128,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:model rewriting - model revision practice,heading-4=12,12,3437,heading-4,heading,#### Model Rewriting — Model Revision Practice
title:module introduction,heading-3=6,6,5,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,1034,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,2356,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,3622,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,5090,heading-3,heading,### Module Introduction
title:module introduction,heading-3=6,6,6104,heading-3,heading,### Module Introduction
title:module n - advanced editing & revision skills (units n-n),heading-2=1,1,5086,heading-2,heading,## Module 5 — Advanced Editing & Revision Skills (Units 16–18)
title:module n - advanced foundations for administrative writing (units n-n),heading-2=1,1,1,heading-2,heading,## Module 1 — Advanced Foundations for Administrative Writing (Units 1–3)
title:module n - capstone & applied administrative writing (units n-n),heading-2=1,1,6100,heading-2,heading,## Module 6 — Capstone & Applied Administrative Writing (Units 19–23)
title:module n - cross-border & interagency communication (units n-n),heading-2=1,1,3618,heading-2,heading,## Module 4 — Cross-Border & Interagency Communication (Units 12–15)
title:module n - professional email writing for interagency contexts (units n-n),heading-2=1,1,1030,heading-2,heading,## Module 2 — Professional Email Writing for Interagency Contexts (Units 4–7)
title:module n - writing complex procedures & internal explanations (units n-n),heading-2=1,1,2352,heading-2,heading,## Module 3 — Writing Complex Procedures & Internal Explanations (Units 8–11)
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,4618,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,7196,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,7521,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice
title:multi-part portfolio task - integrated portfolio practice,heading-4=4,4,7798,heading-4,heading,#### Multi-Part Portfolio Task — Integrated Portfolio Practice
title:neutral clarification language - guided skill practice,heading-4=1,1,499,heading-4,heading,#### 2. Neutral Clarification Language — Guided Skill Practice
title:next steps,bold-only=2,2,1148,bold-only,bold-title,**Next Steps**
title:next steps,bold-only=2,2,6935,bold-only,bold-title,**Next Steps**
title:note on the earlier ten-item version,heading-4=1,1,7980,heading-4,heading,#### Note On The Earlier Ten-Item Version
title:noticing task - identify the writing pattern,heading-4=7,7,82,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:noticing task - identify the writing pattern,heading-4=7,7,444,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:noticing task - identify the writing pattern,heading-4=7,7,782,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:noticing task - identify the writing pattern,heading-4=7,7,1439,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:noticing task - identify the writing pattern,heading-4=7,7,2127,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:noticing task - identify the writing pattern,heading-4=7,7,2445,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:noticing task - identify the writing pattern,heading-4=7,7,3054,heading-4,heading,#### Noticing Task — Identify The Writing Pattern
title:office circular - document verification procedure (revised),bold-only=1,1,2390,bold-only,bold-title,**Office Circular — Document Verification Procedure (Revised)**
title:opening / context,bold-only=1,1,1132,bold-only,bold-title,**Opening / Context**
title:original text,bold-only=1,1,54,bold-only,bold-title,**Original Text**
title:original text - assumes too much knowledge,bold-only=1,1,4439,bold-only,bold-title,**Original Text — Assumes Too Much Knowledge**
title:original text - disjointed,bold-only=1,1,754,bold-only,bold-title,**Original Text — Disjointed**
title:original text - incomplete and unclear,bold-only=1,1,2725,bold-only,bold-title,**Original Text — Incomplete And Unclear**
title:original text - incomplete and unstructured,bold-only=1,1,3331,bold-only,bold-title,**Original Text — Incomplete And Unstructured**
title:original text - insufficient and vague,bold-only=1,1,6536,bold-only,bold-title,**Original Text — Insufficient And Vague**
title:original text - listing without synthesis,bold-only=1,1,5804,bold-only,bold-title,**Original Text — Listing Without Synthesis**
title:original text - overly general,bold-only=1,1,5483,bold-only,bold-title,**Original Text — Overly General**
